 year |               team                |             opponent              |  w  |  d  |  l  |  n   
 2006 | Turkish Super Lig                 | French Ligue 1                    |   0 |   1 |   1 |    2
 2006 | Turkish Super Lig                 | German Bundesliga                 |   0 |   1 |   1 |    2
 2006 | Turkish Super Lig                 | Greek Super League                |   1 |   1 |   0 |    2
 2006 | Turkish Super Lig                 | Italian Serie A                   |   1 |   0 |   0 |    1
 2006 | Turkish Super Lig                 | Spanish Primera División          |   0 |   2 |   1 |    3
 2006 | Turkish Super Lig                 | Turkish Super Lig                 | 189 | 166 | 189 |  550
 2007 | Australian A-League               | Australian A-League               |  61 |  58 |  61 |  180
 2007 | Austrian Bundesliga               | Austrian Bundesliga               | 127 | 104 | 127 |  388
 2007 | Austrian Bundesliga               | French Ligue 1                    |   0 |   0 |   1 |    1
 2007 | Austrian Bundesliga               | Greek Super League                |   1 |   0 |   2 |    3
 2007 | Austrian Bundesliga               | Russian Premier League            |   1 |   1 |   0 |    2
 2007 | Austrian Bundesliga               | Swiss Super League                |   0 |   1 |   3 |    4
 2007 | Austrian Bundesliga               | Turkish Super Lig                 |   0 |   1 |   0 |    1
 2007 | Danish SAS-Ligaen                 | Danish SAS-Ligaen                 | 146 | 104 | 146 |  460
 2007 | Danish SAS-Ligaen                 | English Premier League            |   0 |   0 |   1 |    1
 2007 | Danish SAS-Ligaen                 | French Ligue 1                    |   1 |   1 |   0 |    2
 2007 | Danish SAS-Ligaen                 | Greek Super League                |   0 |   0 |   1 |    1
 2007 | Danish SAS-Ligaen                 | Italian Serie A                   |   0 |   2 |   0 |    2
 2007 | Danish SAS-Ligaen                 | Portuguese Liga                   |   0 |   0 |   2 |    2
 2007 | Danish SAS-Ligaen                 | Russian Premier League            |   1 |   0 |   2 |    3
 2007 | Danish SAS-Ligaen                 | Scottish Premiership              |   0 |   0 |   1 |    1
 2007 | Danish SAS-Ligaen                 | Spanish Primera División          |   0 |   0 |   2 |    2
 2007 | Dutch Eredivisie                  | Dutch Eredivisie                  | 260 | 148 | 260 |  692
 2007 | Dutch Eredivisie                  | English Premier League            |   1 |   0 |   2 |    3
 2007 | Dutch Eredivisie                  | German Bundesliga                 |   0 |   0 |   1 |    1
 2007 | Dutch Eredivisie                  | Greek Super League                |   1 |   0 |   0 |    1
 2007 | Dutch Eredivisie                  | Italian Serie A                   |   0 |   3 |   3 |    6
 2007 | Dutch Eredivisie                  | Portuguese Liga                   |   1 |   1 |   0 |    2
 2007 | Dutch Eredivisie                  | Russian Premier League            |   2 |   1 |   0 |    3
 2007 | Dutch Eredivisie                  | Spanish Primera División          |   1 |   0 |   1 |    2
 2007 | Dutch Eredivisie                  | Turkish Super Lig                 |   0 |   1 |   1 |    2
 2007 | English League Championship       | English League Championship       | 396 | 348 | 396 | 1162
 2007 | English League Championship       | English League One                |  16 |   1 |   5 |   23
 2007 | English League Championship       | English League Two                |  16 |   5 |   6 |   27
 2007 | English League Championship       | English Premier League            |  10 |   5 |  22 |   38
 2007 | English League One                | English League Championship       |   5 |   1 |  16 |   23
 2007 | English League One                | English League One                | 437 | 294 | 437 | 1198
 2007 | English League One                | English League Two                |  32 |  17 |  16 |   67
 2007 | English League One                | English Premier League            |   3 |   3 |   7 |   14
 2007 | English League Two                | English League Championship       |   6 |   5 |  16 |   27
 2007 | English League Two                | English League One                |  16 |  17 |  32 |   67
 2007 | English League Two                | English League Two                | 439 | 264 | 439 | 1184
 2007 | English League Two                | English Premier League            |   0 |   0 |   4 |    4
 2007 | English Premier League            | Danish SAS-Ligaen                 |   1 |   0 |   0 |    1
 2007 | English Premier League            | Dutch Eredivisie                  |   2 |   0 |   1 |    3
 2007 | English Premier League            | English League Championship       |  22 |   5 |  10 |   38
 2007 | English Premier League            | English League One                |   7 |   3 |   3 |   14
 2007 | English Premier League            | English League Two                |   4 |   0 |   0 |    4
 2007 | English Premier League            | English Premier League            | 306 | 214 | 306 |  844
 2007 | English Premier League            | French Ligue 1                    |   4 |   1 |   1 |    6
 2007 | English Premier League            | German Bundesliga                 |   2 |   2 |   0 |    4
 2007 | English Premier League            | Greek Super League                |   3 |   2 |   1 |    6
 2007 | English Premier League            | Italian Serie A                   |   7 |   2 |   1 |   10
 2007 | English Premier League            | Major League Soccer               |   1 |   0 |   0 |    1
 2007 | English Premier League            | Portuguese Liga                   |   3 |   3 |   1 |    7
 2007 | English Premier League            | Russian Premier League            |   1 |   0 |   0 |    1
 2007 | English Premier League            | Spanish Primera División          |   4 |   3 |   2 |    9
 2007 | English Premier League            | Turkish Super Lig                 |   2 |   0 |   2 |    4
 2007 | French Ligue 1                    | Austrian Bundesliga               |   1 |   0 |   0 |    1
 2007 | French Ligue 1                    | Danish SAS-Ligaen                 |   0 |   1 |   1 |    2
 2007 | French Ligue 1                    | English Premier League            |   1 |   1 |   4 |    6
 2007 | French Ligue 1                    | French Ligue 1                    | 290 | 238 | 290 |  824
 2007 | French Ligue 1                    | French Ligue 2                    |  13 |   2 |   5 |   22
 2007 | French Ligue 1                    | German Bundesliga                 |   2 |   0 |   2 |    4
 2007 | French Ligue 1                    | Greek Super League                |   2 |   0 |   1 |    3
 2007 | French Ligue 1                    | Portuguese Liga                   |   0 |   1 |   1 |    2
 2007 | French Ligue 1                    | Russian Premier League            |   3 |   0 |   2 |    5
 2007 | French Ligue 1                    | Scottish Premiership              |   1 |   0 |   1 |    2
 2007 | French Ligue 1                    | Spanish Primera División          |   0 |   1 |   1 |    2
 2007 | French Ligue 1                    | Swiss Super League                |   1 |   1 |   2 |    4
 2007 | French Ligue 1                    | Turkish Super Lig                 |   2 |   0 |   1 |    3
 2007 | French Ligue 2                    | French Ligue 1                    |   5 |   2 |  13 |   22
 2007 | French Ligue 2                    | French Ligue 2                    | 275 | 244 | 275 |  860
 2007 | German 2. Bundesliga              | German 2. Bundesliga              | 215 | 190 | 215 |  654
 2007 | German 2. Bundesliga              | German Bundesliga                 |   4 |   2 |   9 |   15
 2007 | German Bundesliga                 | Dutch Eredivisie                  |   1 |   0 |   0 |    1
 2007 | German Bundesliga                 | English Premier League            |   0 |   2 |   2 |    4
 2007 | German Bundesliga                 | French Ligue 1                    |   2 |   0 |   2 |    4
 2007 | German Bundesliga                 | German 2. Bundesliga              |   9 |   2 |   4 |   15
 2007 | German Bundesliga                 | German Bundesliga                 | 238 | 158 | 238 |  640
 2007 | German Bundesliga                 | Greek Super League                |   2 |   0 |   2 |    4
 2007 | German Bundesliga                 | Italian Serie A                   |   1 |   0 |   1 |    2
 2007 | German Bundesliga                 | Portuguese Liga                   |   6 |   2 |   3 |   11
 2007 | German Bundesliga                 | Russian Premier League            |   1 |   2 |   3 |    6
 2007 | German Bundesliga                 | Scottish Premiership              |   3 |   1 |   2 |    6
 2007 | German Bundesliga                 | Spanish Primera División          |   1 |   3 |   6 |   10
 2007 | German Bundesliga                 | Swiss Super League                |   2 |   2 |   0 |    4
 2007 | German Bundesliga                 | Turkish Super Lig                 |   1 |   1 |   0 |    2
 2007 | Greek Super League                | Austrian Bundesliga               |   2 |   0 |   1 |    3
 2007 | Greek Super League                | Danish SAS-Ligaen                 |   1 |   0 |   0 |    1
 2007 | Greek Super League                | Dutch Eredivisie                  |   0 |   0 |   1 |    1
 2007 | Greek Super League                | English Premier League            |   1 |   2 |   3 |    6
 2007 | Greek Super League                | French Ligue 1                    |   1 |   0 |   2 |    3
 2007 | Greek Super League                | German Bundesliga                 |   2 |   0 |   2 |    4
 2007 | Greek Super League                | Greek Super League                | 192 | 120 | 192 |  664
 2007 | Greek Super League                | Italian Serie A                   |   1 |   2 |   0 |    3
 2007 | Greek Super League                | Portuguese Liga                   |   0 |   1 |   0 |    1
 2007 | Greek Super League                | Russian Premier League            |   1 |   0 |   1 |    2
 2007 | Greek Super League                | Scottish Premiership              |   1 |   2 |   0 |    3
 2007 | Greek Super League                | Spanish Primera División          |   1 |   2 |   7 |   11
 2007 | Greek Super League                | Turkish Super Lig                 |   0 |   0 |   1 |    1
 2007 | Italian Serie A                   | Danish SAS-Ligaen                 |   0 |   2 |   0 |    2
 2007 | Italian Serie A                   | Dutch Eredivisie                  |   3 |   3 |   0 |    6
 2007 | Italian Serie A                   | English Premier League            |   1 |   2 |   7 |   10
 2007 | Italian Serie A                   | German Bundesliga                 |   1 |   0 |   1 |    2
 2007 | Italian Serie A                   | Greek Super League                |   0 |   2 |   1 |    3
 2007 | Italian Serie A                   | Italian Serie A                   | 289 | 242 | 289 |  832
 2007 | Italian Serie A                   | Italian Serie B                   |   7 |   2 |   2 |   11
 2007 | Italian Serie A                   | Portuguese Liga                   |   2 |   2 |   0 |    4
 2007 | Italian Serie A                   | Russian Premier League            |   2 |   0 |   0 |    2
 2007 | Italian Serie A                   | Scottish Premiership              |   1 |   2 |   1 |    4
 2007 | Italian Serie A                   | Spanish Primera División          |   3 |   2 |   1 |    6
 2007 | Italian Serie A                   | Swiss Super League                |   1 |   0 |   1 |    2
 2007 | Italian Serie A                   | Turkish Super Lig                 |   1 |   0 |   1 |    2
 2007 | Italian Serie B                   | Italian Serie A                   |   2 |   2 |   7 |   11
 2007 | Italian Serie B                   | Italian Serie B                   | 337 | 292 | 337 | 1012
 2007 | Major League Soccer               | English Premier League            |   0 |   0 |   1 |    1
 2007 | Major League Soccer               | Major League Soccer               | 160 | 106 | 160 |  426
 2007 | Portuguese Liga                   | Danish SAS-Ligaen                 |   2 |   0 |   0 |    2
 2007 | Portuguese Liga                   | Dutch Eredivisie                  |   0 |   1 |   1 |    2
 2007 | Portuguese Liga                   | English Premier League            |   1 |   3 |   3 |    7
 2007 | Portuguese Liga                   | French Ligue 1                    |   1 |   1 |   0 |    2
 2007 | Portuguese Liga                   | German Bundesliga                 |   3 |   2 |   6 |   11
 2007 | Portuguese Liga                   | Greek Super League                |   0 |   1 |   0 |    1
 2007 | Portuguese Liga                   | Italian Serie A                   |   0 |   2 |   2 |    4
 2007 | Portuguese Liga                   | Portuguese Liga                   | 165 | 152 | 165 |  638
 2007 | Portuguese Liga                   | Scottish Premiership              |   1 |   1 |   2 |    4
 2007 | Portuguese Liga                   | Spanish Primera División          |   0 |   0 |   2 |    2
 2007 | Portuguese Liga                   | Swiss Super League                |   2 |   0 |   0 |    2
 2007 | Portuguese Liga                   | Turkish Super Lig                 |   2 |   0 |   0 |    2
 2007 | Russian Premier League            | Austrian Bundesliga               |   0 |   1 |   1 |    2
 2007 | Russian Premier League            | Danish SAS-Ligaen                 |   2 |   0 |   1 |    3
 2007 | Russian Premier League            | Dutch Eredivisie                  |   0 |   1 |   2 |    3
 2007 | Russian Premier League            | English Premier League            |   0 |   0 |   1 |    1
 2007 | Russian Premier League            | French Ligue 1                    |   2 |   0 |   3 |    5
 2007 | Russian Premier League            | German Bundesliga                 |   3 |   2 |   1 |    6
 2007 | Russian Premier League            | Greek Super League                |   1 |   0 |   1 |    2
 2007 | Russian Premier League            | Italian Serie A                   |   0 |   0 |   2 |    2
 2007 | Russian Premier League            | Russian Premier League            | 167 | 146 | 167 |  488
 2007 | Russian Premier League            | Scottish Premiership              |   1 |   3 |   0 |    4
 2007 | Russian Premier League            | Spanish Primera División          |   1 |   1 |   1 |    3
 2007 | Russian Premier League            | Swiss Super League                |   1 |   0 |   0 |    1
 2007 | Russian Premier League            | Turkish Super Lig                 |   0 |   1 |   1 |    2
 2007 | Scottish Premiership              | Danish SAS-Ligaen                 |   1 |   0 |   0 |    1
 2007 | Scottish Premiership              | French Ligue 1                    |   1 |   0 |   1 |    2
 2007 | Scottish Premiership              | German Bundesliga                 |   2 |   1 |   3 |    6
 2007 | Scottish Premiership              | Greek Super League                |   0 |   2 |   1 |    3
 2007 | Scottish Premiership              | Italian Serie A                   |   1 |   2 |   1 |    4
 2007 | Scottish Premiership              | Portuguese Liga                   |   2 |   1 |   1 |    4
 2007 | Scottish Premiership              | Russian Premier League            |   0 |   3 |   1 |    4
 2007 | Scottish Premiership              | Scottish Premiership              | 195 | 108 | 195 |  536
 2007 | Scottish Premiership              | Spanish Primera División          |   0 |   1 |   4 |    5
 2007 | Spanish Primera División          | Danish SAS-Ligaen                 |   2 |   0 |   0 |    2
 2007 | Spanish Primera División          | Dutch Eredivisie                  |   1 |   0 |   1 |    2
 2007 | Spanish Primera División          | English Premier League            |   2 |   3 |   4 |    9
 2007 | Spanish Primera División          | French Ligue 1                    |   1 |   1 |   0 |    2
 2007 | Spanish Primera División          | German Bundesliga                 |   6 |   3 |   1 |   10
 2007 | Spanish Primera División          | Greek Super League                |   7 |   2 |   1 |   11
 2007 | Spanish Primera División          | Italian Serie A                   |   1 |   2 |   3 |    6
 2007 | Spanish Primera División          | Portuguese Liga                   |   2 |   0 |   0 |    2
 2007 | Spanish Primera División          | Russian Premier League            |   1 |   1 |   1 |    3
 2007 | Spanish Primera División          | Scottish Premiership              |   4 |   1 |   0 |    5
 2007 | Spanish Primera División          | Spanish Primera División          | 316 | 202 | 316 |  862
 2007 | Spanish Primera División          | Turkish Super Lig                 |   1 |   0 |   1 |    2
 2007 | Swiss Super League                | Austrian Bundesliga               |   3 |   1 |   0 |    4
 2007 | Swiss Super League                | French Ligue 1                    |   2 |   1 |   1 |    4
 2007 | Swiss Super League                | German Bundesliga                 |   0 |   2 |   2 |    4
 2007 | Swiss Super League                | Italian Serie A                   |   1 |   0 |   1 |    2
 2007 | Swiss Super League                | Portuguese Liga                   |   0 |   0 |   2 |    2
 2007 | Swiss Super League                | Russian Premier League            |   0 |   0 |   1 |    1
 2007 | Swiss Super League                | Swiss Super League                |  77 |  70 |  77 |  226
 2007 | Swiss Super League                | Turkish Super Lig                 |   1 |   1 |   2 |    4
 2007 | Turkish Super Lig                 | Austrian Bundesliga               |   0 |   1 |   0 |    1
 2007 | Turkish Super Lig                 | Dutch Eredivisie                  |   1 |   1 |   0 |    2
 2007 | Turkish Super Lig                 | English Premier League            |   2 |   0 |   2 |    4
 2007 | Turkish Super Lig                 | French Ligue 1                    |   1 |   0 |   2 |    3
 2007 | Turkish Super Lig                 | German Bundesliga                 |   0 |   1 |   1 |    2
 2007 | Turkish Super Lig                 | Greek Super League                |   1 |   0 |   0 |    1
 2007 | Turkish Super Lig                 | Italian Serie A                   |   1 |   0 |   1 |    2
 2007 | Turkish Super Lig                 | Portuguese Liga                   |   0 |   0 |   2 |    2
 2007 | Turkish Super Lig                 | Russian Premier League            |   1 |   1 |   0 |    2
 2007 | Turkish Super Lig                 | Spanish Primera División          |   1 |   0 |   1 |    2
 2007 | Turkish Super Lig                 | Swiss Super League                |   2 |   1 |   1 |    4
 2007 | Turkish Super Lig                 | Turkish Super Lig                 | 160 |  98 | 160 |  478
 2008 | Australian A-League               | Australian A-League               |  70 |  40 |  70 |  180
 2008 | Austrian Bundesliga               | Austrian Bundesliga               | 143 |  74 | 143 |  374
 2008 | Austrian Bundesliga               | Spanish Primera División          |   0 |   0 |   2 |    2
 2008 | Austrian Bundesliga               | Swiss Super League                |   0 |   2 |   0 |    2
 2008 | Danish SAS-Ligaen                 | Danish SAS-Ligaen                 | 144 | 108 | 144 |  398
 2008 | Danish SAS-Ligaen                 | English Premier League            |   2 |   3 |   5 |   10
 2008 | Danish SAS-Ligaen                 | French Ligue 1                    |   0 |   0 |   1 |    1
 2008 | Danish SAS-Ligaen                 | Greek Super League                |   0 |   0 |   2 |    2
 2008 | Danish SAS-Ligaen                 | Northern Irish Premiership        |   2 |   0 |   0 |    2
 2008 | Danish SAS-Ligaen                 | Russian Premier League            |   1 |   1 |   0 |    2
 2008 | Danish SAS-Ligaen                 | Scottish Premiership              |   1 |   1 |   0 |    2
 2008 | Danish SAS-Ligaen                 | Spanish Primera División          |   2 |   2 |   1 |    5
 2008 | Danish SAS-Ligaen                 | Welsh Premier League              |   2 |   0 |   0 |    2
 2008 | Dutch Eredivisie                  | Dutch Eredivisie                  | 245 | 160 | 245 |  650
 2008 | Dutch Eredivisie                  | English Premier League            |   0 |   0 |   8 |    8
 2008 | Dutch Eredivisie                  | French Ligue 1                    |   3 |   1 |   6 |   10
 2008 | Dutch Eredivisie                  | German Bundesliga                 |   2 |   0 |   3 |    5
 2008 | Dutch Eredivisie                  | Italian Serie A                   |   2 |   1 |   1 |    4
 2008 | Dutch Eredivisie                  | Portuguese Liga                   |   1 |   1 |   1 |    3
 2008 | Dutch Eredivisie                  | Russian Premier League            |   1 |   0 |   1 |    2
 2008 | Dutch Eredivisie                  | Spanish Primera División          |   1 |   0 |   3 |    4
 2008 | Dutch Eredivisie                  | Swedish Allsvenskanliga           |   1 |   0 |   1 |    2
 2008 | English League Championship       | English League Championship       | 405 | 332 | 405 | 1164
 2008 | English League Championship       | English League One                |  16 |   2 |   5 |   25
 2008 | English League Championship       | English League Two                |  15 |   2 |   4 |   21
 2008 | English League Championship       | English Premier League            |  12 |   9 |  24 |   46
 2008 | English League One                | English League Championship       |   5 |   2 |  16 |   25
 2008 | English League One                | English League One                | 440 | 296 | 440 | 1252
 2008 | English League One                | English League Two                |  24 |  13 |  17 |   54
 2008 | English League One                | English Premier League            |   3 |   4 |   8 |   15
 2008 | English League Two                | English League Championship       |   4 |   2 |  15 |   21
 2008 | English League Two                | English League One                |  17 |  13 |  24 |   54
 2008 | English League Two                | English League Two                | 403 | 346 | 403 | 1232
 2008 | English League Two                | English Premier League            |   0 |   0 |   6 |    6
 2008 | English Premier League            | Danish SAS-Ligaen                 |   5 |   3 |   2 |   10
 2008 | English Premier League            | Dutch Eredivisie                  |   8 |   0 |   0 |    8
 2008 | English Premier League            | English League Championship       |  24 |   9 |  12 |   46
 2008 | English Premier League            | English League One                |   8 |   4 |   3 |   15
 2008 | English Premier League            | English League Two                |   6 |   0 |   0 |    6
 2008 | English Premier League            | English Premier League            | 307 | 210 | 307 |  824
 2008 | English Premier League            | French Ligue 1                    |   3 |   2 |   0 |    5
 2008 | English Premier League            | German Bundesliga                 |   2 |   0 |   3 |    5
 2008 | English Premier League            | Italian Serie A                   |   4 |   3 |   3 |   10
 2008 | English Premier League            | Portuguese Liga                   |   3 |   2 |   2 |    7
 2008 | English Premier League            | Russian Premier League            |   0 |   2 |   2 |    4
 2008 | English Premier League            | Scottish Premiership              |   1 |   1 |   0 |    2
 2008 | English Premier League            | Spanish Primera División          |   3 |   7 |   2 |   12
 2008 | English Premier League            | Turkish Super Lig                 |   1 |   1 |   0 |    2
 2008 | French Ligue 1                    | Danish SAS-Ligaen                 |   1 |   0 |   0 |    1
 2008 | French Ligue 1                    | Dutch Eredivisie                  |   6 |   1 |   3 |   10
 2008 | French Ligue 1                    | English Premier League            |   0 |   2 |   3 |    5
 2008 | French Ligue 1                    | French Ligue 1                    | 286 | 234 | 286 |  806
 2008 | French Ligue 1                    | French Ligue 2                    |   8 |   5 |   9 |   22
 2008 | French Ligue 1                    | German Bundesliga                 |   2 |   2 |   3 |    7
 2008 | French Ligue 1                    | Greek Super League                |   2 |   0 |   0 |    2
 2008 | French Ligue 1                    | Italian Serie A                   |   1 |   1 |   2 |    4
 2008 | French Ligue 1                    | Portuguese Liga                   |   1 |   1 |   0 |    2
 2008 | French Ligue 1                    | Russian Premier League            |   0 |   0 |   1 |    1
 2008 | French Ligue 1                    | Scottish Premiership              |   2 |   0 |   0 |    2
 2008 | French Ligue 1                    | Spanish Primera División          |   0 |   4 |   3 |    7
 2008 | French Ligue 1                    | Turkish Super Lig                 |   1 |   2 |   1 |    4
 2008 | French Ligue 2                    | French Ligue 1                    |   9 |   5 |   8 |   22
 2008 | French Ligue 2                    | French Ligue 2                    | 290 | 220 | 290 |  804
 2008 | German 2. Bundesliga              | German 2. Bundesliga              | 222 | 178 | 222 |  622
 2008 | German 2. Bundesliga              | German Bundesliga                 |   7 |   0 |   8 |   15
 2008 | German Bundesliga                 | Dutch Eredivisie                  |   3 |   0 |   2 |    5
 2008 | German Bundesliga                 | English Premier League            |   3 |   0 |   2 |    5
 2008 | German Bundesliga                 | French Ligue 1                    |   3 |   2 |   2 |    7
 2008 | German Bundesliga                 | German 2. Bundesliga              |   8 |   0 |   7 |   15
 2008 | German Bundesliga                 | German Bundesliga                 | 245 | 150 | 245 |  640
 2008 | German Bundesliga                 | Greek Super League                |   0 |   1 |   2 |    3
 2008 | German Bundesliga                 | Italian Serie A                   |   4 |   7 |   1 |   12
 2008 | German Bundesliga                 | Portuguese Liga                   |   3 |   1 |   0 |    4
 2008 | German Bundesliga                 | Russian Premier League            |   1 |   0 |   3 |    4
 2008 | German Bundesliga                 | Spanish Primera División          |   1 |   2 |   3 |    6
 2008 | German Bundesliga                 | Turkish Super Lig                 |   1 |   1 |   1 |    3
 2008 | Greek Super League                | Danish SAS-Ligaen                 |   2 |   0 |   0 |    2
 2008 | Greek Super League                | French Ligue 1                    |   0 |   0 |   2 |    2
 2008 | Greek Super League                | German Bundesliga                 |   2 |   1 |   0 |    3
 2008 | Greek Super League                | Greek Super League                | 180 | 144 | 180 |  510
 2008 | Greek Super League                | Italian Serie A                   |   1 |   0 |   3 |    4
 2008 | Greek Super League                | Portuguese Liga                   |   1 |   0 |   0 |    1
 2008 | Greek Super League                | Spanish Primera División          |   0 |   1 |   1 |    2
 2008 | Greek Super League                | Turkish Super Lig                 |   0 |   0 |   1 |    1
 2008 | Italian Serie A                   | Dutch Eredivisie                  |   1 |   1 |   2 |    4
 2008 | Italian Serie A                   | English Premier League            |   3 |   3 |   4 |   10
 2008 | Italian Serie A                   | French Ligue 1                    |   2 |   1 |   1 |    4
 2008 | Italian Serie A                   | German Bundesliga                 |   1 |   7 |   4 |   12
 2008 | Italian Serie A                   | Greek Super League                |   3 |   0 |   1 |    4
 2008 | Italian Serie A                   | Italian Serie A                   | 297 | 198 | 297 |  796
 2008 | Italian Serie A                   | Italian Serie B                   |  11 |   2 |   1 |   18
 2008 | Italian Serie A                   | Portuguese Liga                   |   2 |   0 |   1 |    3
 2008 | Italian Serie A                   | Russian Premier League            |   3 |   1 |   1 |    5
 2008 | Italian Serie A                   | Spanish Primera División          |   3 |   0 |   0 |    3
 2008 | Italian Serie A                   | Swiss Super League                |   2 |   0 |   0 |    2
 2008 | Italian Serie B                   | Italian Serie A                   |   1 |   2 |  11 |   18
 2008 | Italian Serie B                   | Italian Serie B                   | 325 | 298 | 325 |  950
 2008 | Major League Soccer               | Major League Soccer               | 161 | 128 | 161 |  452
 2008 | Northern Irish Premiership        | Danish SAS-Ligaen                 |   0 |   0 |   2 |    2
 2008 | Northern Irish Premiership        | Northern Irish Premiership        | 171 | 120 | 171 |  462
 2008 | Portuguese Liga                   | Dutch Eredivisie                  |   1 |   1 |   1 |    3
 2008 | Portuguese Liga                   | English Premier League            |   2 |   2 |   3 |    7
 2008 | Portuguese Liga                   | French Ligue 1                    |   0 |   1 |   1 |    2
 2008 | Portuguese Liga                   | German Bundesliga                 |   0 |   1 |   3 |    4
 2008 | Portuguese Liga                   | Greek Super League                |   0 |   0 |   1 |    1
 2008 | Portuguese Liga                   | Italian Serie A                   |   1 |   0 |   2 |    3
 2008 | Portuguese Liga                   | Portuguese Liga                   | 176 | 128 | 176 |  480
 2008 | Portuguese Liga                   | Spanish Primera División          |   0 |   2 |   4 |    6
 2008 | Portuguese Liga                   | Swiss Super League                |   2 |   1 |   1 |    4
 2008 | Portuguese Liga                   | Turkish Super Lig                 |   4 |   0 |   1 |    5
 2008 | Russian Premier League            | Danish SAS-Ligaen                 |   0 |   1 |   1 |    2
 2008 | Russian Premier League            | Dutch Eredivisie                  |   1 |   0 |   1 |    2
 2008 | Russian Premier League            | English Premier League            |   2 |   2 |   0 |    4
 2008 | Russian Premier League            | French Ligue 1                    |   1 |   0 |   0 |    1
 2008 | Russian Premier League            | German Bundesliga                 |   3 |   0 |   1 |    4
 2008 | Russian Premier League            | Italian Serie A                   |   1 |   1 |   3 |    5
 2008 | Russian Premier League            | Russian Premier League            | 165 | 150 | 165 |  484
 2008 | Russian Premier League            | Spanish Primera División          |   1 |   0 |   2 |    3
 2008 | Scottish Premiership              | Danish SAS-Ligaen                 |   0 |   1 |   1 |    2
 2008 | Scottish Premiership              | English Premier League            |   0 |   1 |   1 |    2
 2008 | Scottish Premiership              | French Ligue 1                    |   0 |   0 |   2 |    2
 2008 | Scottish Premiership              | Scottish Premiership              | 186 | 122 | 186 |  498
 2008 | Scottish Premiership              | Spanish Primera División          |   1 |   0 |   1 |    2
 2008 | Scottish Premiership              | Swedish Allsvenskanliga           |   0 |   0 |   2 |    2
 2008 | Spanish Primera División          | Austrian Bundesliga               |   2 |   0 |   0 |    2
 2008 | Spanish Primera División          | Danish SAS-Ligaen                 |   1 |   2 |   2 |    5
 2008 | Spanish Primera División          | Dutch Eredivisie                  |   3 |   0 |   1 |    4
 2008 | Spanish Primera División          | English Premier League            |   2 |   7 |   3 |   12
 2008 | Spanish Primera División          | French Ligue 1                    |   3 |   4 |   0 |    7
 2008 | Spanish Primera División          | German Bundesliga                 |   3 |   2 |   1 |    6
 2008 | Spanish Primera División          | Greek Super League                |   1 |   1 |   0 |    2
 2008 | Spanish Primera División          | Italian Serie A                   |   0 |   0 |   3 |    3
 2008 | Spanish Primera División          | Portuguese Liga                   |   4 |   2 |   0 |    6
 2008 | Spanish Primera División          | Russian Premier League            |   2 |   0 |   1 |    3
 2008 | Spanish Primera División          | Scottish Premiership              |   1 |   0 |   1 |    2
 2008 | Spanish Primera División          | Spanish Primera División          | 321 | 184 | 321 |  826
 2008 | Spanish Primera División          | Swiss Super League                |   1 |   1 |   0 |    2
 2008 | Swedish Allsvenskanliga           | Dutch Eredivisie                  |   1 |   0 |   1 |    2
 2008 | Swedish Allsvenskanliga           | Scottish Premiership              |   2 |   0 |   0 |    2
 2008 | Swedish Allsvenskanliga           | Swedish Allsvenskanliga           |  96 |  64 |  96 |  262
 2008 | Swedish Allsvenskanliga           | Swiss Super League                |   0 |   1 |   1 |    2
 2008 | Swiss Super League                | Austrian Bundesliga               |   0 |   2 |   0 |    2
 2008 | Swiss Super League                | Italian Serie A                   |   0 |   0 |   2 |    2
 2008 | Swiss Super League                | Portuguese Liga                   |   1 |   1 |   2 |    4
 2008 | Swiss Super League                | Spanish Primera División          |   0 |   1 |   1 |    2
 2008 | Swiss Super League                | Swedish Allsvenskanliga           |   1 |   1 |   0 |    2
 2008 | Swiss Super League                | Swiss Super League                | 134 |  90 | 134 |  374
 2008 | Swiss Super League                | Turkish Super Lig                 |   0 |   0 |   2 |    2
 2008 | Turkish Super Lig                 | English Premier League            |   0 |   1 |   1 |    2
 2008 | Turkish Super Lig                 | French Ligue 1                    |   1 |   2 |   1 |    4
 2008 | Turkish Super Lig                 | German Bundesliga                 |   1 |   1 |   1 |    3
 2008 | Turkish Super Lig                 | Greek Super League                |   1 |   0 |   0 |    1
 2008 | Turkish Super Lig                 | Portuguese Liga                   |   1 |   0 |   4 |    5
 2008 | Turkish Super Lig                 | Swiss Super League                |   2 |   0 |   0 |    2
 2008 | Turkish Super Lig                 | Turkish Super Lig                 | 183 | 114 | 183 |  506
 2008 | Welsh Premier League              | Danish SAS-Ligaen                 |   0 |   0 |   2 |    2
 2008 | Welsh Premier League              | Welsh Premier League              | 247 | 118 | 247 |  612
 2009 | Australian A-League               | Australian A-League               | 105 |  72 | 105 |  282
 2009 | Austrian Bundesliga               | Austrian Bundesliga               | 136 |  88 | 136 |  370
 2009 | Austrian Bundesliga               | English Premier League            |   1 |   0 |   1 |    2
 2009 | Austrian Bundesliga               | German Bundesliga                 |   1 |   1 |   2 |    4
 2009 | Austrian Bundesliga               | Greek Super League                |   0 |   0 |   2 |    2
 2009 | Austrian Bundesliga               | Italian Serie A                   |   2 |   0 |   0 |    2
 2009 | Austrian Bundesliga               | Portuguese Liga                   |   0 |   1 |   1 |    2
 2009 | Austrian Bundesliga               | Scottish Premiership              |   0 |   2 |   0 |    2
